x,y
-192.9077843511503,306.0546824595659
-194.99612759463136,310.60245581300535
-196.56423644278627,315.34802585799736
-198.10239161791037,320.082514805697
-198.7880522154062,324.9681272159081
-198.8979538753916,329.89530255630166
-197.4539489907439,334.5818362726656
-194.693040172226,338.69363300792355
-191.37373263464403,342.3332260806213
-187.33877846913097,345.01106501176497
-182.59409594107404,345.04407330052817
-177.83879813476184,343.9539554858041
-173.12195562231608,342.6449983358343
-168.37959462188135,341.1946792569441
-164.0237408261014,338.7517868002857
